,Date,Continent_Name,ConfirmedCases,ConfirmedDeaths,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,GovernmentResponseIndexForDisplay,StringencyIndexForDisplay,ConfirmedCases_100K,ConfirmedDeaths_100K,Average14_100K,CumulativeVaccine,PeopleVaccinated,CumulativeVaccine_100K,PeopleVaccinated_100K,CumulativeTests,CumulativeTests_100K
87,2020-01-15,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,0.0,,,,,2073.0,0.3541673558949067
88,2020-01-15,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
89,2020-01-15,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,0.0,,,,,370.0,0.0866382178136451
90,2020-01-16,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,0.0,,,,,,
91,2020-01-16,Asia,0.0,0.0,2.459795918367347,0.0,2.1524489795918367,2.2675510204081633,0.0,0.0,0.0,,,,,96.0,0.0020483146871189853
92,2020-01-16,Europe,0.0,0.0,0.32914893617021274,0.0,0.2880851063829787,0.0,0.0,0.0,0.0,,,,,,
93,2020-01-16,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,0.0,,,,,2303.0,0.39346233508247475
94,2020-01-16,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
95,2020-01-16,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,0.0,,,,,360.0,0.08429664435922225
96,2020-01-17,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,0.0,,,,,,
97,2020-01-17,Asia,0.0,0.0,2.459795918367347,0.0,2.1524489795918367,2.2675510204081633,0.0,0.0,0.0,,,,,97.0,0.0020696512984431413
98,2020-01-17,Europe,0.0,0.0,0.32914893617021274,0.0,0.2880851063829787,0.0,0.0,0.0,0.0,,,,,,
99,2020-01-17,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,0.0,,,,,2488.0,0.4250691661681273
100,2020-01-17,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
101,2020-01-17,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,0.0,,,,,12.0,0.0028098881453074084
102,2020-01-18,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,0.0,,,,,,
103,2020-01-18,Asia,0.0,0.0,2.4963265306122446,0.0,2.1844897959183673,2.324081632653061,0.0,0.0,0.0,,,,,125.0,0.002667076415519512
104,2020-01-18,Europe,0.0,0.0,0.32914893617021274,0.0,0.2880851063829787,0.0,0.0,0.0,0.0,,,,,,
105,2020-01-18,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,0.0,,,,,2557.0,0.43685765992439773
106,2020-01-18,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
107,2020-01-18,South America,0.0,0.0,0.5458333333333333,0.0,0.47750000000000004,0.23166666666666666,0.0,0.0,0.0,,,,,0.0,0.0
108,2020-01-19,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,0.0,,,,,,
109,2020-01-19,Asia,0.0,0.0,2.4963265306122446,0.0,2.1844897959183673,2.324081632653061,0.0,0.0,0.0,,,,,132.0,0.0028164326947886045
110,2020-01-19,Europe,0.0,0.0,0.32914893617021274,0.0,0.2880851063829787,0.0,0.0,0.0,0.0,,,,,,
111,2020-01-19,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,0.0,,,,,2678.0,0.45753023593177045
112,2020-01-19,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
113,2020-01-19,South America,0.0,0.0,0.5458333333333333,0.0,0.47750000000000004,0.23166666666666666,0.0,0.0,0.0,,,,,408.0,0.09553619694045189
114,2020-01-20,Africa,0.0,0.0,0.143,0.0,0.12480000000000001,0.2224,0.0,0.0,0.0,,,,,,
115,2020-01-20,Asia,0.0,0.0,2.927551020408163,0.0,2.5616326530612246,2.6642857142857146,0.0,0.0,0.0,,,,,182.0,0.0038832632609964095
116,2020-01-20,Europe,0.0,0.0,0.45574468085106384,0.0,0.39893617021276595,0.11829787234042552,0.0,0.0,0.0,,,,,,
117,2020-01-20,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,0.0,,,,,2970.0,0.507417774726422
118,2020-01-20,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
119,2020-01-20,South America,0.0,0.0,0.5458333333333333,0.0,0.47750000000000004,0.23166666666666666,0.0,0.0,0.0,,,,,411.0,0.09623866897677874
120,2020-01-21,Africa,0.0,0.0,0.2858,0.0,0.2498,0.4446,0.0,0.0,0.0,,,,,,
121,2020-01-21,Asia,0.0,0.0,3.449591836734694,0.0,3.0185714285714287,3.11795918367347,0.0,0.0,0.0,,,,,217.0,0.004630044657341873
122,2020-01-21,Europe,0.0,0.0,0.45574468085106384,0.0,0.39893617021276595,0.11829787234042552,0.0,0.0,0.0,,,,,,
123,2020-01-21,North America,0.0,0.0,0.5434782608695652,0.0,0.4747826086956522,0.3626086956521739,0.0,0.0,0.0,,,,,3244.0,0.5542300542803075
124,2020-01-21,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
125,2020-01-21,South America,0.0,0.0,0.9925,0.0,0.8683333333333333,0.9258333333333333,0.0,0.0,0.0,,,,,0.0,0.0
126,2020-01-22,Africa,0.0,0.0,0.4286,0.0,0.3746,0.6669999999999999,0.0,0.0,0.0,,,,,,
127,2020-01-22,Asia,556.0,17.0,4.47,0.0,3.911428571428572,3.9965306122448987,0.01186315589623079,0.00036272239251065365,0.0008473682783021992,,,,,274.0,0.0058462315028187705
128,2020-01-22,Europe,0.0,0.0,0.7217021276595745,0.0,0.6314893617021277,0.23659574468085104,0.0,0.0,0.0,,,,,,
129,2020-01-22,North America,1.0,0.0,1.8891304347826086,0.0,1.6526086956521737,1.8117391304347823,0.0001708477355981219,0.0,1.2203409685580135e-05,,,,,3533.0,0.6036050498681647
130,2020-01-22,Oceania,0.0,0.0,1.5866666666666667,0.0,1.3888888888888888,2.468888888888889,0.0,0.0,0.0,,,,,,
131,2020-01-22,South America,0.0,0.0,0.9925,0.0,0.8683333333333333,0.9258333333333333,0.0,0.0,0.0,,,,,16.0,0.0037465175270765447
132,2020-01-23,Africa,0.0,0.0,0.4644,0.0,0.4058,0.7225999999999999,0.0,0.0,0.0,,,,,,
133,2020-01-23,Asia,654.0,18.0,5.284285714285715,0.0,4.623265306122449,5.111632653061225,0.013954143805998086,0.0003840590038348097,0.000996724557571292,,,,,352.0,0.007510487186102946
134,2020-01-23,Europe,0.0,0.0,0.9876595744680849,0.0,0.8640425531914894,0.6504255319148936,0.0,0.0,0.0,,,,,,
135,2020-01-23,North America,1.0,0.0,2.1995652173913043,0.0,1.9243478260869564,2.2947826086956518,0.0001708477355981219,0.0,1.2203409685580135e-05,,,,,3797.0,0.6487088520660689
136,2020-01-23,Oceania,0.0,0.0,1.5866666666666667,0.0,1.3888888888888888,2.468888888888889,0.0,0.0,0.0,,,,,,
137,2020-01-23,South America,0.0,0.0,2.083333333333333,0.0,1.8225,2.315,0.0,0.0,0.0,,,,,17.0,0.003980674872518829
138,2020-01-24,Africa,0.0,0.0,0.5716,0.0,0.4996,0.8892,0.0,0.0,0.0,,,,,,
139,2020-01-24,Asia,937.0,26.0,6.1959183673469385,0.0,5.4202040816326535,5.527346938775512,0.019992404810734263,0.0005547518944280584,0.0014280289150524472,,,,,455.0,0.009708158152491023
140,2020-01-24,Europe,2.0,0.0,1.5070212765957447,0.0,1.3182978723404255,1.3206382978723403,0.00023139595175281487,0.0,1.6528282268058202e-05,,,,,,
141,2020-01-24,North America,2.0,0.0,2.1995652173913043,0.0,1.9243478260869564,2.2947826086956518,0.0003416954711962438,0.0,2.440681937116027e-05,,,,,4006.0,0.6844160288060763
142,2020-01-24,Oceania,0.0,0.0,1.5866666666666667,0.0,1.3888888888888888,2.468888888888889,0.0,0.0,0.0,,,,,,
143,2020-01-24,South America,0.0,0.0,2.083333333333333,0.0,1.8225,2.315,0.0,0.0,0.0,,,,,0.0,0.0
144,2020-01-25,Africa,0.0,0.0,0.5716,0.0,0.4996,0.8892,0.0,0.0,0.0,,,,,,
145,2020-01-25,Asia,1428.0,42.0,6.65734693877551,0.0,5.823877551020409,6.037551020408163,0.030468680970894904,0.000896137675614556,0.0021763343550639217,,,,,552.0,0.011777809450934165
146,2020-01-25,Europe,3.0,0.0,1.9629787234042555,0.0,1.7172340425531916,1.4389361702127659,0.0003470939276292223,0.0,2.4792423402087305e-05,,,,,,
147,2020-01-25,North America,2.0,0.0,2.3030434782608693,0.0,2.014782608695652,2.2947826086956518,0.0003416954711962438,0.0,2.440681937116027e-05,,,,,4111.0,0.7023550410438791
148,2020-01-25,Oceania,0.0,0.0,3.042222222222222,0.0,2.6622222222222223,3.0866666666666664,0.0,0.0,0.0,,,,,,
149,2020-01-25,South America,0.0,0.0,2.083333333333333,0.0,1.8225,2.315,0.0,0.0,0.0,,,,,0.0,0.0
150,2020-01-26,Africa,0.0,0.0,0.5716,0.0,0.4996,0.8892,0.0,0.0,0.0,,,,,,
151,2020-01-26,Asia,2105.0,56.0,7.362040816326531,0.0,6.4404081632653085,6.982244897959182,0.04491356683734858,0.0011948502341527414,0.0032081119169534702,,,,,792.0,0.016898596168731628
152,2020-01-26,Europe,3.0,0.0,2.0895744680851065,0.0,1.8280851063829788,1.5572340425531914,0.0003470939276292223,0.0,2.4792423402087305e-05,,,,,,
153,2020-01-26,North America,6.0,0.0,2.5621739130434777,0.0,2.241304347826087,2.536521739130435,0.0010250864135887313,0.0,7.32204581134808e-05,,,,,4269.0,0.7293489832683824
154,2020-01-26,Oceania,4.0,0.0,3.042222222222222,0.0,2.6622222222222223,3.0866666666666664,0.009434402610442595,0.0,0.0006738859007458997,,,,,,
155,2020-01-26,South America,0.0,0.0,2.380833333333333,0.0,2.0825,2.778333333333333,0.0,0.0,0.0,,,,,0.0,0.0
156,2020-01-27,Africa,0.0,0.0,0.7502,0.0,0.6555999999999998,1.1672000000000002,0.0,0.0,0.0,,,,,,
157,2020-01-27,Asia,2912.0,82.0,8.175918367346938,0.0,7.152857142857143,8.172857142857142,0.06213221217594255,0.0017496021285808,0.004438015155424468,,,,,1007.0,0.02148596760342519
158,2020-01-27,Europe,4.0,0.0,2.4951063829787232,0.0,2.1823404255319145,2.030212765957447,0.00046279190350562974,0.0,3.3056564536116405e-05,,,,,,
159,2020-01-27,North America,6.0,0.0,2.5621739130434777,0.0,2.241304347826087,2.536521739130435,0.0010250864135887313,0.0,7.32204581134808e-05,,,,,4547.0,0.7768446537646603
160,2020-01-27,Oceania,5.0,0.0,3.836666666666667,0.0,3.356666666666667,4.321111111111112,0.011793003263053246,0.0,0.0008423573759323747,,,,,,
161,2020-01-27,South America,0.0,0.0,2.380833333333333,0.0,2.0825,2.778333333333333,0.0,0.0,0.0,,,,,435.0,0.10185844526739356
162,2020-01-28,Africa,0.0,0.0,0.9289999999999999,0.0,0.8118,1.4450000000000003,0.0,0.0,0.0,,,,,,
163,2020-01-28,Asia,5558.0,131.0,8.807551020408162,0.0,7.706122448979591,8.928571428571429,0.11858888573965959,0.0027950960834644484,0.00847063469568997,,,,,1366.0,0.029145811068797225
164,2020-01-28,Europe,8.0,0.0,2.8370212765957445,0.0,2.4814893617021276,2.3257446808510642,0.0009255838070112595,0.0,6.611312907223281e-05,,,,,,
